"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.05.2026","287,75","286,44","290,90","284,67","2,49M","0,50%"
"28.05.2026","286,31","285,23","289,89","281,11","2,38M","-0,82%"
"27.05.2026","288,68","300,62","300,81","286,69","3,35M","-4,27%"
"26.05.2026","301,57","300,01","310,45","299,08","3,61M","2,55%"
"22.05.2026","294,07","287,52","296,90","286,99","2,88M","2,88%"
"21.05.2026","285,83","281,53","288,07","281,53","2,37M","1,62%"
"20.05.2026","281,26","273,39","282,60","270,20","4,10M","7,90%"
"19.05.2026","260,67","258,48","261,21","256,10","3,94M","-0,51%"
"18.05.2026","262,00","267,20","267,87","258,90","3,44M","-1,95%"
"15.05.2026","267,20","270,65","273,20","266,57","3,84M","-2,93%"
"14.05.2026","275,26","274,70","278,60","273,80","3,66M","0,13%"
"13.05.2026","274,89","289,20","292,00","268,98","6,65M","-6,37%"
"12.05.2026","293,60","298,69","300,71","287,50","3,76M","-2,03%"
"11.05.2026","299,69","315,30","317,74","288,83","6,27M","-1,30%"
"08.05.2026","303,63","314,87","317,65","301,76","2,95M","-2,46%"
"07.05.2026","311,28","323,01","328,80","310,66","2,63M","-3,56%"
"06.05.2026","322,78","320,42","325,69","314,01","3,06M","0,74%"
"05.05.2026","320,42","323,85","324,99","318,58","1,90M","-0,20%"
"04.05.2026","321,05","308,78","325,42","308,78","2,83M","4,30%"
"01.05.2026","307,81","312,51","317,24","307,62","2,10M","-1,66%"
"30.04.2026","313,00","302,86","314,57","300,91","2,91M","5,39%"
"29.04.2026","297,00","306,65","307,67","294,26","2,73M","-2,85%"
"28.04.2026","305,71","313,71","314,28","304,88","2,63M","-3,00%"
"27.04.2026","315,17","318,00","318,50","304,12","2,37M","0,52%"
"24.04.2026","313,53","294,11","314,20","291,21","3,61M","7,09%"
"23.04.2026","292,77","289,42","293,70","284,01","2,77M","1,95%"
"22.04.2026","287,16","282,51","289,08","282,34","2,58M","3,41%"
"21.04.2026","277,70","288,00","289,12","276,84","3,40M","-3,43%"
"20.04.2026","287,56","295,28","296,45","286,27","2,48M","-2,92%"
