"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.05.2026","380,34","385,24","385,24","378,46","44,42M","-2,51%"
"28.05.2026","390,13","388,00","391,87","385,16","24,36M","0,33%"
"27.05.2026","388,83","386,67","393,88","385,90","23,09M","-0,01%"
"26.05.2026","388,88","384,51","389,26","382,60","27,75M","1,54%"
"22.05.2026","382,97","387,35","388,74","381,77","20,44M","-1,21%"
"21.05.2026","387,66","385,70","392,50","383,02","24,85M","-0,32%"
"20.05.2026","388,91","387,70","393,86","382,90","31,74M","0,32%"
"19.05.2026","387,66","396,96","397,15","386,11","39,55M","-2,34%"
"18.05.2026","396,94","395,68","408,61","394,53","26,84M","0,04%"
"15.05.2026","396,78","396,32","399,54","393,18","20,31M","-1,07%"
"14.05.2026","401,07","397,28","402,93","395,84","21,14M","-0,38%"
"13.05.2026","402,62","385,60","403,70","385,00","28,14M","3,94%"
"12.05.2026","387,35","387,34","388,52","382,77","26,02M","-0,33%"
"11.05.2026","388,64","393,64","397,44","388,47","30,75M","-3,03%"
"08.05.2026","400,80","397,00","402,00","396,36","21,46M","0,71%"
"07.05.2026","397,99","399,92","400,10","392,68","24,43M","-0,01%"
"06.05.2026","398,04","394,24","399,85","392,76","31,31M","2,47%"
"05.05.2026","388,43","386,23","392,82","384,02","23,88M","1,35%"
"04.05.2026","383,25","385,63","387,38","379,79","26,30M","-0,63%"
"01.05.2026","385,69","381,63","386,76","379,05","30,11M","0,23%"
"30.04.2026","384,80","374,07","385,84","365,82","72,04M","9,96%"
"29.04.2026","349,94","347,57","355,79","344,21","35,38M","0,05%"
"28.04.2026","349,78","348,55","352,42","346,12","27,82M","-0,16%"
"27.04.2026","350,34","345,98","353,18","342,73","28,58M","1,72%"
"24.04.2026","344,40","338,73","345,27","335,39","26,43M","1,63%"
"23.04.2026","338,89","341,18","341,96","336,18","18,65M","-0,13%"
"22.04.2026","339,32","337,02","339,82","335,17","20,29M","2,12%"
"21.04.2026","332,29","337,68","339,34","331,35","23,12M","-1,52%"
"20.04.2026","337,42","340,76","341,40","336,61","18,78M","-1,25%"
"17.04.2026","341,68","337,65","342,32","336,24","25,58M","1,68%"
"16.04.2026","336,02","338,75","339,88","334,52","20,54M","-0,33%"
"15.04.2026","337,12","332,89","337,48","330,90","24,92M","1,26%"
"14.04.2026","332,91","324,79","333,29","323,75","27,72M","3,61%"
"13.04.2026","321,31","317,14","321,63","315,47","18,87M","1,28%"
"10.04.2026","317,24","320,02","321,83","316,32","19,15M","-0,39%"
"09.04.2026","318,49","315,90","319,54","311,06","23,74M","0,37%"
"08.04.2026","317,32","320,45","322,08","315,02","33,55M","3,88%"
"07.04.2026","305,46","302,73","305,63","297,72","23,21M","1,82%"
"06.04.2026","299,99","295,87","300,62","295,18","16,95M","1,43%"
"02.04.2026","295,77","290,69","298,08","289,45","21,67M","-0,54%"
"01.04.2026","297,39","290,83","300,52","290,41","37,68M","3,42%"
"31.03.2026","287,56","278,04","288,08","277,09","43,88M","5,14%"
"30.03.2026","273,50","276,42","277,09","272,11","35,14M","-0,31%"
"27.03.2026","274,34","277,27","279,37","273,95","35,89M","-2,34%"
"26.03.2026","280,92","287,91","287,95","278,50","39,08M","-3,44%"
"25.03.2026","290,93","293,44","296,00","289,24","29,46M","0,17%"
